x,y,z
0.999986, 0.001, -7.94611e-06
0.999959, 0.00199997, -2.38386e-05
0.999919, 0.00299989, -4.76781e-05
0.999864, 0.00399973, -7.94655e-05
0.999797, 0.00499946, -0.000119202
0.999715, 0.00599906, -0.000166888
0.99962, 0.00699849, -0.000222526
0.999512, 0.00799774, -0.000286119
0.99939, 0.00899677, -0.000357667
0.999254, 0.00999556, -0.000437173
0.999105, 0.0109941, -0.00052464
0.998942, 0.0119923, -0.000620071
0.998765, 0.0129902, -0.00072347
0.998575, 0.0139878, -0.000834839
0.998372, 0.0149849, -0.000954182
0.998155, 0.0159817, -0.0010815
0.997924, 0.016978, -0.00121681
0.99768, 0.0179739, -0.0013601
0.997422, 0.0189693, -0.00151138
0.99715, 0.0199642, -0.00167067
0.996865, 0.0209585, -0.00183795
0.996566, 0.0219523, -0.00201324
0.996254, 0.0229454, -0.00219655
0.995928, 0.023938, -0.00238787
0.995588, 0.0249299, -0.00258723
0.995235, 0.0259211, -0.00279461
0.994868, 0.0269116, -0.00301004
0.994488, 0.0279013, -0.00323351
0.994094, 0.0288904, -0.00346504
0.993686, 0.0298786, -0.00370464
0.993264, 0.030866, -0.0039523
0.992829, 0.0318525, -0.00420804
0.992381, 0.0328382, -0.00447188
0.991918, 0.033823, -0.00474381
0.991442, 0.0348068, -0.00502384
0.990953, 0.0357897, -0.005312
0.990449, 0.0367716, -0.00560828
0.989932, 0.0377524, -0.00591269
0.989401, 0.0387323, -0.00622526
0.988857, 0.039711, -0.00654598
0.988299, 0.0406887, -0.00687487
0.987727, 0.0416652, -0.00721194
0.987141, 0.0426405, -0.0075572
0.986542, 0.0436147, -0.00791066
0.985928, 0.0445876, -0.00827234
0.985302, 0.0455593, -0.00864225
0.984661, 0.0465297, -0.0090204
0.984007, 0.0474988, -0.00940681
0.983338, 0.0484665, -0.00980148
0.982657, 0.0494329, -0.0102044
0.981961, 0.0503979, -0.0106157
0.981251, 0.0513614, -0.0110353
0.980528, 0.0523235, -0.0114631
0.979791, 0.0532841, -0.0118994
0.97904, 0.0542432, -0.012344
0.978275, 0.0552007, -0.0127969
0.977496, 0.0561566, -0.0132583
0.976704, 0.0571109, -0.013728
0.975897, 0.0580635, -0.0142062
0.975077, 0.0590145, -0.0146928
0.974243, 0.0599638, -0.0151878
0.973395, 0.0609113, -0.0156914
0.972533, 0.061857, -0.0162034
0.971657, 0.062801, -0.0167239
0.970767, 0.0637431, -0.017253
0.969863, 0.0646833, -0.0177906
0.968946, 0.0656216, -0.0183368
0.968014, 0.0665579, -0.0188916
0.967068, 0.0674923, -0.019455
0.966109, 0.0684247, -0.020027
0.965135, 0.069355, -0.0206077
0.964147, 0.0702833, -0.021197
0.963146, 0.0712094, -0.021795
0.96213, 0.0721334, -0.0224018
0.9611, 0.0730552, -0.0230173
0.960056, 0.0739748, -0.0236415
0.958998, 0.0748922, -0.0242746
0.957926, 0.0758073, -0.0249164
0.95684, 0.07672, -0.0255671
0.95574, 0.0776304, -0.0262266
0.954625, 0.0785384, -0.026895
0.953497, 0.0794439, -0.0275724
0.952354, 0.080347, -0.0282587
0.951197, 0.0812476, -0.0289539
0.950026, 0.0821456, -0.0296581
0.94884, 0.0830411, -0.0303714
0.947641, 0.0839339, -0.0310936
0.946427, 0.0848241, -0.031825
0.945199, 0.0857116, -0.0325655
0.943956, 0.0865963, -0.0333151
0.9427, 0.0874783, -0.0340738
0.941429, 0.0883575, -0.0348418
0.940144, 0.0892337, -0.0356189
0.938844, 0.0901072, -0.0364054
0.93753, 0.0909776, -0.0372011
0.936202, 0.0918451, -0.0380061
0.934859, 0.0927096, -0.0388205
0.933502, 0.093571, -0.0396443
0.93213, 0.0944293, -0.0404774
0.930744, 0.0952844, -0.0413201
0.929344, 0.0961364, -0.0421722
0.927929, 0.0969852, -0.0430338
0.926499, 0.0978306, -0.043905
0.925055, 0.0986727, -0.0447858
0.923597, 0.0995115, -0.0456763
0.922124, 0.100347, -0.0465764
0.920636, 0.101179, -0.0474862
0.919134, 0.102007, -0.0484058
0.917617, 0.102832, -0.0493351
0.916086, 0.103653, -0.0502743
0.914539, 0.104471, -0.0512233
0.912979, 0.105285, -0.0521823
0.911403, 0.106095, -0.0531512
0.909813, 0.106901, -0.0541301
0.908208, 0.107704, -0.055119
0.906589, 0.108503, -0.056118
0.904954, 0.109297, -0.0571272
0.903305, 0.110088, -0.0581465
0.901641, 0.110875, -0.0591761
0.899962, 0.111657, -0.0602159
0.898269, 0.112436, -0.061266
0.89656, 0.11321, -0.0623265
0.894837, 0.11398, -0.0633974
0.893098, 0.114746, -0.0644787
0.891345, 0.115507, -0.0655706
0.889577, 0.116264, -0.066673
0.887794, 0.117016, -0.0677861
0.885996, 0.117764, -0.0689098
0.884182, 0.118508, -0.0700442
0.882354, 0.119246, -0.0711894
0.880511, 0.11998, -0.0723455
0.878652, 0.120709, -0.0735124
0.876779, 0.121434, -0.0746903
0.87489, 0.122153, -0.0758792
